pathway,status,n_genes,excluded_genes,description,SS,percent_SS,n_valid_snps,mean_percent_SS,null_mean,null_sd,fold_enrichment,p_value,n_samples,n_unique_null_sets,additive_sum,additive_sum_null_mean,additive_sum_null_sd,additive_sum_p_value,additive_mean,additive_mean_null_mean,additive_mean_null_sd,additive_mean_p_value,q_value_bh,additive_sum_q_value_bh,additive_mean_q_value_bh
PWY3O-19,tested,5,[],ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic),2.2240093474528225e-14,0.0007128179709876091,42,4.040918202877603e-07,2.3042654766361073e-15,2.185174792223222e-15,9.651706237857423,0.003992015968063872,500,500,0.01310021551859584,0.0010015190849082247,0.003024253890973443,0.015968063872255488,0.0003119098932999009,2.3845692497814872e-05,7.200604502317722e-05,0.015968063872255488,0.311377245508982,0.3989520958083832,0.3989520958083832
PWY-922,tested,7,[],mevalonate pathway I,1.363985455886483e-14,0.00043717142926362473,60,1.2143650812878466e-07,4.474766430274807e-15,3.5321454206038873e-15,3.048171289250324,0.021956087824351298,500,500,0.0006421349734350144,0.0010268968135123087,0.0018016860026759728,0.6087824351297405,1.070224955725024e-05,1.7114946891871812e-05,3.002810004459955e-05,0.6087824351297405,0.6746506986027944,0.8161097160517674,0.8294885638558948
PWY3O-242,tested,4,[],phosphatidylinositol phosphate biosynthesis,2.1156645161365777e-14,0.0006780923332944525,93,7.840124098675598e-08,4.962239482525324e-15,4.731099457776039e-15,4.263527634220304,0.02594810379241517,500,498,0.0006577301240878076,0.000718925322335923,0.00041311867143315834,0.48902195608782434,7.07236692567535e-06,7.730194361882336e-06,4.442277033021416e-06,0.48902195608782434,0.6746506986027944,0.7628742514970059,0.7628742514970059
PWY3O-94,tested,24,[],superpathway of TCA cycle and glyoxylate cycle,9.76729954511521e-14,0.003130520405299201,202,7.672091964756398e-08,6.134880449514598e-14,3.048811305848801e-14,1.5920928900722124,0.04790419161676647,500,500,0.0028850713868578794,0.004282923086519479,0.007573207519122103,0.3872255489021956,1.4282531618108315e-05,2.120315595067595e-05,3.7445113752412754e-05,0.38922155688622756,0.8682634730538921,0.7024091352179362,0.7060298008633895
PWY3O-64,tested,4,[],methionine salvage pathway,4.639600522212328e-15,0.00014870398967631128,38,1.0298060226891362e-07,2.2167300114727166e-15,6.336062303247688e-15,2.092993056529217,0.06187624750499002,500,495,0.0011388488798740018,0.0012858177169918716,0.006135438631704231,0.05389221556886228,2.996970736510531e-05,3.3837308341891375e-05,0.00016145891136063766,0.05389221556886228,0.8682634730538921,0.3989520958083832,0.3989520958083832
PWY3O-862,tested,8,[],superpathway of ubiquinone biosynthesis,2.4196253385773935e-14,0.000775514916954067,64,1.89334696521989e-07,1.140853338478329e-14,2.7551197281148432e-14,2.120890790226105,0.07385229540918163,500,500,0.013330001477213027,0.004826569777562005,0.01375674430818053,0.08183632734530938,0.00020828127308145355,7.541515277440633e-05,0.00021494912981532077,0.08183632734530938,0.8682634730538921,0.3989520958083832,0.3989520958083832
PWY3O-48,tested,3,[],glycerol biosynthesis,1.5242964043794013e-16,4.885527443478884e-06,7,9.97046417036507e-08,7.490405215722072e-17,1.2433812583696018e-16,2.034998588834636,0.1157684630738523,500,487,8.22380791121092e-05,0.0002510979712419226,0.0007759072209748573,0.6846307385229541,1.1748297016015602e-05,3.587113874884608e-05,0.0001108438887106939,0.6846307385229541,0.8682634730538921,0.8343937125748503,0.8343937125748503
PWY-781,tested,5,[],sulfate assimilation pathway,6.28110664591526e-16,2.0131595669892203e-05,14,1.0271222280557247e-07,3.815003943840153e-16,5.52832879233926e-16,1.6464220583721723,0.12574850299401197,500,500,0.0003201315027645836,0.0006619238508682384,0.0035668836263105944,0.4031936127744511,2.286653591175597e-05,4.728027506201704e-05,0.0002547774018793282,0.4031936127744511,0.8682634730538921,0.7147523135547087,0.7147523135547087
PWY3O-6407,tested,3,[],phosphatidate biosynthesis I (the dihydroxyacetone pathway),1.1715262930288577e-15,3.75486279368338e-05,24,6.518859016811423e-08,9.918378326887132e-16,5.833866757514024e-15,1.1811671771513674,0.12574850299401197,500,475,0.000873507345727676,0.000585183405151658,0.0033147607837546006,0.07584830339321358,3.6396139405319836e-05,2.4382641881319084e-05,0.00013811503265644167,0.07584830339321358,0.8682634730538921,0.3989520958083832,0.3989520958083832
PWY3O-6499,tested,4,[],phosphatidate biosynthesis II (the glycerol-3-phosphate pathway),1.6720465318908963e-15,5.3590818654804245e-05,27,7.351278279122668e-08,9.218519763530692e-16,1.1750974336133109e-15,1.8137906895916907,0.1317365269461078,500,499,0.0009217280405015441,0.0010195761148189212,0.005860208806798202,0.04590818363273453,3.413807557413126e-05,3.776114582555855e-05,0.00021704487777199369,0.04590818363273453,0.8682634730538921,0.3989520958083832,0.3989520958083832
PWY3O-45,tested,5,[],folate biosynthesis II,1.5357944001823456e-15,4.922379707827799e-05,28,6.278545545698723e-08,9.396169279154787e-16,9.243113817791689e-16,1.6344899230258385,0.14570858283433133,500,500,0.0006094942643892434,0.0006825095264416595,0.002015960054735348,0.24151696606786427,2.1767652299615835e-05,2.4375340230059268e-05,7.199857338340529e-05,0.24151696606786427,0.8682634730538921,0.5091438744133354,0.5091438744133354
PWY3O-6635,tested,5,[],superpathway of phosphatidate biosynthesis,2.2326270183065404e-15,7.15580023521076e-05,30,7.950889150234177e-08,1.807528367257942e-15,7.119669883756587e-15,1.2351822846871732,0.1536926147704591,500,500,0.0009551242251053323,0.0006659921334220935,0.0024888915707995157,0.06986027944111776,3.1837474170177745e-05,2.2199737780736452e-05,8.296305235998385e-05,0.06986027944111776,0.8682634730538921,0.3989520958083832,0.3989520958083832
PWY3O-7,tested,8,[],superpathway of threonine biosynthesis,9.128084437403858e-15,0.0002925645359865923,72,5.643606018259882e-08,6.843336294891296e-15,4.147016127496007e-15,1.3338646595839776,0.1656686626746507,500,500,0.0006092972468349416,0.0014135371275128367,0.005027839629516026,0.7504990019960079,8.46246176159641e-06,1.9632460104344955e-05,6.983110596550036e-05,0.7504990019960079,0.8682634730538921,0.8723141951391336,0.8723141951391336
