,MKT1,MIP1,HAL9,LMO1,VPS70,BUL2,VPS36,RSF1,FLO5
LYS21,2.5835084228890295e-09,1.1088583903280243e-10,6.000622853039245e-12,1.605073614215702e-09,1.4361704583692033e-09,1.2686148449459576e-10,1.0510908277118206e-10,3.717448345465469e-10,9.618879569418781e-11
STF1,2.799488846420188e-09,6.674628149486544e-11,5.406007499489529e-11,1.5755876038652878e-09,2.5505346911047687e-09,1.1570374361297594e-10,4.7227934359812546e-11,8.878854078864135e-12,1.8966845600377036e-12
RPP1B,2.292466596277047e-09,1.6645227287539198e-10,5.2674626650856666e-11,1.437089128389665e-09,2.7108603137952124e-09,1.2266124178900897e-10,2.4771732664825738e-11,1.4983944726762545e-11,9.697419116782778e-13
YDL129W,2.27476033731872e-09,1.0717558885533342e-10,2.5360206910246945e-11,1.2819787002658486e-09,2.904102520195791e-09,1.1224538893234063e-10,8.40273476621951e-11,5.880730229164157e-11,7.540989756584207e-12
VCX1,2.0364952559168025e-09,9.970089778875963e-11,6.516898182596055e-11,1.5229953444406918e-09,4.369725688198241e-09,1.719870887717891e-10,3.6008890497558443e-11,7.78070067972955e-11,1.7419269047524196e-11
PCL2,1.4362582930233387e-09,3.420891442336766e-11,7.819597291038821e-11,1.6779752549473585e-09,4.611017559880594e-09,1.1739769795760628e-10,5.967446676055382e-11,4.935564016731439e-11,1.8946606534176733e-11
CDC48,1.4714422497198165e-09,1.125136164967502e-10,3.9616557783230746e-11,1.1141056720675435e-09,5.393897763666674e-09,1.2546692747015426e-10,5.671484459176684e-11,1.8200657099192076e-10,1.05230615220676e-10
HNT1,2.3186171779376806e-09,6.095975606875916e-10,3.5912759360748114e-11,5.974815242685225e-11,6.817102466978153e-09,1.9499038366275764e-10,2.5160307813406806e-10,5.874003167794237e-11,1.1751205007562175e-10
YDL124W,2.6758323877285306e-09,8.498957575822159e-10,2.1148748742124455e-11,1.1909242426909605e-10,7.1935219332392665e-09,2.282231386597927e-10,2.9151691875675754e-10,4.900793788352137e-11,1.4678400877368834e-10
SNA4,1.8176041891861929e-09,9.935181577030489e-10,1.826972236175218e-11,2.5326045417632526e-10,6.128746349374203e-09,4.1610028282172974e-10,4.130530355698008e-10,9.552715208288512e-11,1.6865627641175558e-10
UBP1,3.2370788376994634e-09,1.2214903176462752e-09,1.4267166132489367e-11,5.293502530952449e-10,4.099220752266082e-09,4.350582432221798e-10,2.0973084344114085e-11,8.094051857098689e-11,5.6208760192334763e-11
