gene1	gene2	mean_VC
RCR1	FRE8	5.778265794300017e-10
MRPL8	SBA1	8.781686795464936e-12
CAP2	TDH2	1.3526744387837646e-12
RRG1	YNL033W	1.1110999583077e-09
UGO1	FYV8	4.863057904778454e-10
SIP4	NCW1	3.16305951796722e-10
FKH1	ADO1	1.3911979640738636e-09
GPM2	DAT1	2.5810431131503267e-11
SIP2	MED11	5.322081133969863e-10
UGA1	RPS29A	7.876579544797367e-10
YNL108C	ESC8	2.9647672629245315e-09
FUS1	REX2	5.35492752402194e-09
TSC11	YAP7	1.3078211126362442e-09
KIN82	MET3	3.7516953599074757e-10
ATG33	IZH4	1.252164235022733e-10
VPS72	VHS3	3.660756690030379e-09
RPL19A	PRM4	1.374414133222358e-09
LPD1	SUT1	1.6453575876476247e-10
SGF29	KXD1	6.374658380512147e-11
GRS1	SMF2	4.184905696165747e-10
DPB3	HOR7	1.7509668577803258e-10
SPC105	SRL3	4.719682064213573e-10
YIL092W	YLR001C	3.2461676908452053e-09
EGT2	PAP2	1.5191470452095876e-10
HXT6	EXG1	1.0343993481481027e-09
VPS15	ETP1	6.549836745903817e-12
FRE8	NOP2	7.151966636894247e-10
TPP1	FHL1	9.294030744969347e-10
IOC3	PEX17	6.975654316723201e-10
FRT1	TIF6	1.5436296938275029e-09
TOA2	CAP1	4.9645065915405434e-11
GLC7	PEX28	2.1010907844843304e-11
YDL009C	YIR020C	2.07375126515986e-10
HSP26	PBA1	7.003306481532876e-10
SDH8	VFA1	7.327034046039074e-11
TAM41	DBP1	3.250915977164975e-10
ASN2	PUS6	3.2032045303300663e-10
CKB1	FLX1	2.8359282554069537e-10
VIP1	LDS2	6.1063324033776335e-09
SWH1	GPI18	3.892484330194072e-09
ADA2	MGS1	3.719012258483693e-09
BUD27	SKI3	2.0069526112883936e-09
PRM9	PTI1	2.3294389957461273e-11
LAM4	SDH9	7.963182561145586e-10
AIR1	YML054C-A	2.354572236375788e-10
ATP7	SRL2	1.35509400892626e-09
YHR078W	CAT8	1.1426269247341422e-08
CTT1	RPS19B	8.445803040232331e-10
SMC3	MCO10	1.2806761938521095e-09
YLR302C	AEP3	9.508394667470979e-10
BUD14	ARX1	4.986574511839833e-10
RPL22A	APM4	1.1424655513965045e-09
CET1	SNT309	2.321881034065209e-10
DOT5	GZF3	1.2566890422498188e-09
HSP42	YNL134C	1.3978502241494142e-11
CPR4	OCT1	2.676565990174316e-09
RNR3	PMT4	2.9134322673323445e-09
SPC97	ARC15	1.1622505685108514e-11
YGL204C	PRM10	1.1550925457699523e-10
TIR1	HTZ1	3.60646851615663e-10
YCL021W-A	RIM4	1.9570783817802902e-09
YLR361C-A	CSA1	2.4470088044081616e-10
SNA2	FIP1	4.3888778280180034e-11
MRX18	MVD1	2.3982161195878024e-09
REC104	YUR1	1.99700925612126e-10
YLR365W	ARG81	1.9708942262859566e-09
SUP45	RSA3	7.422035664137718e-10
RNY1	CTF19	3.211480712952116e-09
IME4	YKL068W-A	7.774876656739577e-10
VPS62	SMP3	2.850320821128984e-11
YKR073C	NNR1	7.305243441188145e-10
SRS2	WRS1	1.0248699215164649e-10
SWP82	BBP1	8.763721304833158e-11
KEG1	CIS3	2.8129998401663154e-10
MAK21	FOL1	1.3940272297181027e-09
SXM1	PEX28	2.393590148424238e-11
VEL1	GYP5	3.1415938698129536e-09
GPM2	CTK1	1.8451157981020953e-10
CBF2	YKR045C	9.74404342553019e-11
RSR1	MAD2	8.736967993346775e-10
LOT5	TDA9	3.045598088123855e-10
THP2	COX12	1.5347824649663024e-09
SSY5	AIM45	5.481493440589573e-10
YDR274C	RPD3	5.280194517336404e-12
LRE1	DSL1	1.7302737500258864e-11
SSN3	CIP1	7.950705360681148e-10
GGC1	KEX2	7.150098968945944e-10
TIP20	YNR071C	5.736764498046508e-10
SUR2	CKI1	2.561602660919567e-09
CCT7	YOR105W	4.2426258906875207e-11
YCL048W-A	ECM7	5.29122426700765e-10
SPG3	SPC25	1.257282117545097e-10
SCY1	STB6	1.3572343462351741e-09
GAG1	PRP46	8.391099916843551e-10
PRB1	YMR262W	7.077442851714883e-10
CDC26	NTA1	1.6631345744272587e-09
TRM3	LAT1	3.421713099864266e-09
FAR7	EBP2	6.70632767700568e-10
YCR001W	RAD26	3.877815916020633e-10
ATS1	MGL2	4.3905309980798355e-09
SWC4	FYV10	4.141226354214957e-10
ISC10	MOT1	3.595464161066004e-10
SBH1	COG5	4.3275802145549726e-09
GPR1	STE14	8.139219014230853e-09
VRL1	IMP2	2.020233951493154e-10
ATG33	TRM12	2.8984811921071836e-10
YLR154C-G	IPI3	2.3617805300760943e-10
ATS1	YSY6	3.849393748491697e-11
NBP35	ARP8	9.240726290701438e-11
YBL044W	IES3	6.246816803886908e-10
STE24	TRS33	1.5500662755247686e-09
ACH1	STR3	7.450338807546288e-10
DRS2	DOG1	1.2467763204856804e-08
RNR4	TOA2	1.08528929574859e-09
MRP20	ESS1	9.519436028885378e-11
YDR109C	RPS31	7.725878482607319e-10
ALR1	HTS1	1.2016214844534913e-10
CCA1	NUP192	2.9164818430573515e-09
SLX1	YCR085W	3.453662556363664e-11
ATG36	ASF1	2.7999123152562495e-11
FAA4	ROD1	3.224281145112102e-10
TMC1	CTR1	1.899713302186211e-09
SBA1	IMP2	1.7841447282296304e-09
SPP41	STB6	2.1818663377012654e-10
RPF2	YNL046W	5.743166634546517e-10
SCC4	YGL204C	3.7239059482275275e-09
PDR3	ATG33	7.442813120855005e-10
RTS3	ELP2	9.588589225846507e-11
GPI19	YGR018C	2.7305538531278656e-11
FUR4	MSF1	1.6883025473881251e-09
FMP10	MCH4	3.4553995828779084e-10
MSN5	BPT1	7.0921724580064e-09
CDC28	XYL2	7.47030750822786e-11
EPT1	MRPL23	1.482871452136249e-09
YBR259W	PRE2	1.2653780793703689e-12
ENP1	HSP42	5.489890451620409e-10
NTH2	SPO23	2.244739383451428e-09
YDR249C	DAT1	3.910956331651613e-09
MSL5	GAT2	7.47969712828228e-11
YDR341C	HUA2	1.0450977645588273e-08
IPI1	IES2	1.3004379202235122e-09
ARB1	RPL24A	1.528106908241539e-09
SEA4	IML2	7.78375310317682e-09
RRP1	CPR3	1.3719235329569438e-09
RRT14	ROD1	4.996490291856111e-10
SAM2	YML096W	9.164258293377642e-11
RGP1	APM4	1.3408853975030026e-11
YDR274C	DOT5	7.371795629930553e-10
KGD2	COX20	4.352534575084621e-09
SRM1	TRM112	6.139475201968941e-10
YGL088W	GPI16	1.5204211244806495e-10
MNP1	WHI2	1.4181273216460814e-09
MET1	BER1	3.1753741698370095e-10
RTT105	YAK1	4.772523405904923e-09
ECM31	YPK9	1.1306955509890924e-09
SCL1	SOL1	5.7727685211901894e-11
PXA2	YNL144C	5.600878843767441e-10
CDC19	ENO1	1.1321160981286918e-11
SHP1	DIA3	4.3447166721481853e-11
SLY1	ELP4	4.855348629578847e-09
PMI40	PRP2	6.917603370605523e-10
SLX5	PRS5	1.6656773891794507e-10
CDC9	VTC5	2.860093271418732e-09
HSV2	YHR125W	6.64831310257011e-10
MRS3	YMR253C	4.784004325768911e-09
RPS4B	PFA3	2.2346277057167782e-09
UBX7	SHU2	8.77222992508869e-10
EHT1	AUA1	3.867645915447805e-09
SWE1	TGL4	4.0855248631910943e-10
BNA1	USA1	4.2435175773905086e-10
ARO3	PAM1	5.698931088459849e-10
ECM21	ROT2	1.6285039514756374e-10
GRX2	SEC53	1.505975328567925e-10
EMC3	PAM17	5.793516733385949e-12
SSL2	YMR075C-A	1.6986790763876016e-10
RAD61	RPS0B	2.320738278787079e-09
YGL258W-A	STB6	3.4374859279238355e-09
PCF11	RPS25B	7.927415879256149e-11
NMA1	HOR7	1.3965298440405022e-10
HOS4	MDL1	1.2458201756496003e-11
COG8	APC1	3.8335031815121934e-09
ADR1	DNF1	8.477914392849145e-09
DFP3	RPS18A	2.924502438445969e-09
KIN1	SHC1	1.2189350917463557e-09
YML119W	HOS1	4.360575538884767e-11
ESBP6	PEP4	1.7269590537993989e-09
IRC6	NAM7	8.700936235324878e-11
AIM29	CCW12	4.439368446086092e-11
MIS1	BNA7	1.3104011272497601e-09
MRP35	RPL9B	3.893782651485135e-08
YDR215C	TUS1	6.697426569882842e-10
OM14	YPK2	3.7635040225903286e-10
HCM1	FMO1	9.027510414629054e-10
KIP1	VPS55	9.668649605108913e-11
SLD7	ATP4	8.519307641668448e-11
CHO2	GUP2	3.549494574274461e-10
ABF1	SLG1	3.7086673680596223e-09
KRS1	WHI2	2.782119913891156e-10
NCP1	TAP42	2.7428410948457557e-09
PHD1	FYV6	2.532080101398729e-11
YEL008W	YLR179C	3.087131776594637e-10
PDI1	BBP1	6.832915963593565e-09
ILS1	VHR2	8.364331287598575e-09
MET2	MDY2	1.7061948729527451e-09
PET122	ZNG1	1.3317714812390905e-11
CDC36	YNL033W	7.488460343582962e-10
APM2	URA8	7.940167674165607e-11
MMF1	MTR2	4.478726234364013e-10
RIF1	PKH2	4.0663258494747905e-10
YGR146C-A	SFG1	1.562741151303856e-11
ICT1	ILV5	3.366760956057022e-11
STF1	RAD2	1.0178891471700344e-09
GID8	CAT8	9.206747616460819e-10
EAR1	CAR1	1.0912909040115538e-09
GPR1	NOG2	1.1202661485398378e-10
CBF1	INP2	4.219322592903852e-10
INM2	MVD1	1.0786673068458863e-09
FUS3	TRS85	1.00547211242075e-09
ATG33	ECM30	1.3683003557692672e-09
RTC2	ACM1	1.8086111523965978e-09
GDH3	BUD7	1.5925149211059005e-09
PTC1	IRC8	2.2987519479839056e-10
MPD2	FLC1	9.052201917583939e-11
JAC1	GAD1	2.3706350429374643e-10
BUD2	YBT1	2.0837219083984898e-09
POF1	RPL24B	4.232384938971117e-10
STE3	FUS2	1.394673783586637e-10
HSP82	VPS4	6.219801082865762e-10
YBT1	URE2	6.155887626776248e-11
HEM1	GAS3	5.05991033029531e-11
UBC5	SYF2	2.781935255754731e-09
PTA1	CAB3	3.933572607080106e-09
KRE9	UIP5	1.8558430555214458e-10
YOR032W-A	RRP36	4.2269072245258335e-10
KGD2	SHM2	5.7708443396428105e-11
ROT2	YER138W-A	8.456065965341153e-10
APA2	HEF3	9.848687335602744e-11
HOM2	GAG1	5.418426711281328e-11
SCS3	SBE22	1.2502363123385425e-09
PMT7	NCS6	2.2184883259475326e-09
SPR3	YLR264C-A	8.271397207285834e-11
STR3	PET111	2.713139339959815e-12
TRM82	PRR1	3.882940949416705e-10
ARC40	PDP3	2.332941774484127e-12
YDR338C	ARP7	1.6877179579391397e-09
YMR196W	TRM732	9.157992502922183e-11
SMF1	RPL43A	1.1073046977532984e-09
TRS31	BIO5	1.0951228717530867e-09
PMT2	INP53	4.299626675962755e-10
SHG1	PUT4	1.3890680435680769e-09
TAP42	PDH1	7.826416732795708e-09
NMA111	MPD2	2.278060985294796e-09
MIC19	GRX5	2.5429061554449387e-10
HPT1	YFL019C	1.6042954762422488e-09
DPB4	PNP1	3.747032121245443e-10
RSM7	HDA3	3.56683297592884e-11
TFS1	HRP1	3.363781204411953e-10
VMA10	TAF13	5.560125839765695e-10
BMT5	DPA10	7.059733471527766e-12
FBP26	OSI1	2.737053544415495e-10
HEH2	GUA1	1.0819175600484718e-08
SDH7	MRPL4	1.7974573500039718e-11
YJL107C	GPM3	4.785790939529606e-10
URB2	MPD1	4.066757479452178e-11
TWF1	MNE1	6.522623719838903e-11
DBP3	PEX31	2.5828891027290156e-10
SWE1	ANR2	1.8179606308832057e-10
YHP1	GSY1	4.1298994666682555e-10
MDH2	KIN4	1.8339271925495423e-10
PEX5	ILM1	1.288314383435333e-09
YKR018C	FLC1	2.634597801950176e-09
PGA2	ULP1	8.311618348157219e-10
YML108W	MKK2	9.478918456738772e-09
YVH1	LSC1	1.2440434106720653e-10
SHP1	ORC1	2.9750904674684494e-09
GIR2	HIR2	1.146241119176503e-10
PRP6	YPS3	2.186322195000304e-09
PRD1	GDA1	3.2304402828180086e-09
AGP1	MAD1	1.2965355536715937e-10
SWI4	RRD1	3.811298385683818e-10
SSZ1	DAL7	6.440961478534356e-10
ARE1	ECM10	2.444022228379671e-10
RIM8	TIM17	1.6853518093362589e-09
RAD16	AIM41	2.5962810999379637e-10
YKR075C	GAS3	2.0734622148070544e-09
SPO71	CHP1	1.0665116463593387e-10
RTS3	USV1	2.1088548335143913e-11
MAL13	ECM22	2.953695756391993e-11
IMA5	RTG1	5.378177225484437e-10
YBR238C	USB1	4.140748033671852e-12
CLB4	VAN1	3.3098917095448447e-09
BNA1	ALA1	1.5154138632497093e-08
YBL055C	APA1	1.2241894279204545e-09
GEP7	NOP10	1.7109282800233178e-10
YIP1	NCW1	2.5558224197654793e-10
YLL006W-A	NTO1	6.88332362858086e-09
YGL118C	CAF20	4.2243149407510423e-10
AMS1	FBP26	1.0708977559254244e-09
YFR012W-A	SPT21	5.301089232370388e-11
SFA1	MDM34	9.770324701217251e-11
LPD1	NOP12	1.7486874370920156e-09
SSD1	GAA1	5.760522658333408e-11
PCH2	ERG6	1.0360667485789088e-09
AGE2	PHR1	7.461087299809678e-10
HKR1	MNL1	6.49283749553345e-10
SWI4	RQC2	1.9778071497216568e-10
SWC3	BZZ1	1.3863051993040126e-10
HYM1	MRPS18	8.73692374228992e-10
SMP1	ISD11	1.857254482349379e-11
GLN3	DMO1	3.0067604926099354e-11
DUG2	MSS18	4.6334442316338756e-10
ARP4	YNL042W-B	6.543037954565383e-09
SLY41	BEM3	6.9064782439175244e-09
LYS20	YKR070W	1.3802607594432242e-10
CDC11	CYT1	2.7419930724135627e-11
HFM1	CLB1	1.0524122750021014e-08
WHI4	HSP10	7.261313466216385e-11
SHC1	PTH4	1.139441228487375e-10
NDI1	ABP140	6.5157464302614106e-09
ATG33	DCS2	2.1968942191525113e-09
YDR003W-A	UFD4	4.2357403473233764e-10
CAX4	PPT1	3.8472083501673523e-11
SPE1	COY1	1.613544243721066e-09
PIR5	RPL40B	5.171036361079038e-09
UTP22	TFC7	3.221862096960338e-12
MER1	YPL229W	8.247228344089271e-10
SWH1	MRPL7	3.3374386694830164e-10
VPS24	YIM1	1.6909884774142806e-09
RIM4	TIM10	3.5809078926235947e-10
RPS6B	ECM27	2.0692356674129043e-11
MFB1	ACE2	6.603064288499041e-09
YHR131C	MMR1	3.2840790340381064e-10
EST3	MRM1	1.8777898194110078e-10
REB1	YOL014W	1.0151821593701734e-09
FYV7	PRE6	3.5891657952263666e-10
YIM1	ADH1	3.736246379631677e-10
NGR1	TPM1	4.489676152611031e-09
YRB30	URA2	4.693045584297467e-11
YJR098C	NOP12	1.4777144276017742e-09
GET3	HEM13	5.498411516685867e-10
RAD3	LAS17	5.149018619529685e-10
BUD14	IDH2	8.746515874883821e-11
FIG2	MSB2	8.293904942614364e-11
YGR035W-A	AIM32	2.2772919764670407e-11
SWF1	CGR1	1.2751128690056227e-10
STB2	SYC1	3.7840843549539e-09
UFD2	GLN3	4.50614563404218e-11
FAT1	GPI12	4.1464761707254614e-10
EXO5	RPL17A	7.381289019953779e-10
PCL9	MTF2	1.027376003018413e-08
POF1	IGD1	2.3800973942264294e-10
NMD2	THI21	1.7774932668278736e-11
RTN2	SSU1	8.312029955848175e-11
PDX1	PEX28	4.128572485791468e-11
CPR6	ART10	1.4903086855353407e-08
GRX8	RAD14	1.6154283425014026e-09
NTA1	RSF1	6.061130303438496e-09
MCM2	YLR236C	1.9526312625520916e-09
RNH202	RPB2	7.236851974013677e-10
SPO7	HCM1	1.2656292933932515e-09
YBR225W	HAL1	9.133596093179956e-10
VMA1	GPT2	6.982440835936342e-10
EKI1	MED7	1.179717636181993e-10
CDC6	SCP160	2.191453074424765e-09
PBP4	HIS6	1.0103321849572686e-09
ACE2	YMR075C-A	2.2535944467987205e-09
EXO84	YLR285C-A	1.738663138858692e-10
PET117	ALG9	3.6528232117420223e-09
CLB1	RUP1	3.978565024927886e-10
PUF6	SSP120	2.460620503558577e-09
IDS2	PAC1	8.288847401178e-10
RPL12A	NCA3	1.0132662596644646e-09
YBL081W	IES3	1.3271499905497656e-09
MNE1	MRS6	1.0352536281962203e-09
YDR338C	IRC4	3.1165073641159123e-10
PSK1	YBR196C-A	1.2670900747581165e-09
BEM3	YPR127W	2.1297523440017426e-10
SMD2	MED4	8.778354995411341e-10
BRE1	RDL2	6.093201896902914e-10
ECT1	MTR4	1.0972633137327271e-10
THG1	MNR2	6.761374822963367e-11
LSM3	PSH1	3.6761171791645926e-10
YEL067C	SWI4	3.6398282257389605e-10
RMR1	NUP57	6.043963681825075e-09
RPL9A	IPI1	2.078962797950557e-12
FMN1	DUG1	3.876664706362464e-09
EMC1	MRX4	1.0969284142352402e-09
UBP15	TIM18	5.312658983699847e-09
AIT1	ISW2	4.80130929285415e-10
GYP7	MNN5	9.51041360484573e-11
RRG1	RRP3	8.221700770701476e-10
YGL108C	YPL039W	1.7750502897611793e-09
MTR2	IMP4	6.079183311435647e-09
UTP5	TFA2	2.083803777433341e-09
TFB5	ENO1	4.468455932083159e-10
UGA4	YIR020C	8.680286968108436e-10
AMS1	CDC11	4.141446134795862e-11
VTI1	TOP2	8.859267662712697e-10
YJL043W	UBA1	1.2529949735992428e-09
CHZ1	CHL1	1.407568775188863e-10
RTC6	COX10	2.6689095916721606e-09
NTA1	GRC3	8.746783756481288e-11
ISC10	SPT5	3.880045442084689e-10
FUN30	RAV1	1.3376077814074653e-09
VSB1	MYO1	6.621648415345076e-11
EFM4	RNA14	2.194452685516555e-11
UGO1	DAD2	2.4580490169695245e-09
PRS1	YCK2	7.543212652610591e-09
SWP1	DIA1	5.0742019516034176e-11
SDH9	YKR075C	7.670896438321704e-11
APJ1	SCD5	8.425022754416412e-08
UBC1	SPB4	9.644520496306183e-11
QRI1	ULP2	7.757635210803742e-10
SNA2	YOR186W	2.4386889094876004e-09
YGL118C	ERG9	1.6496810688050444e-09
YDL159W-A	NOP14	2.4405962897091234e-10
YBL008W-A	YOL097W-A	7.302235390445202e-10
VID24	SUV3	1.731463841549624e-10
ARC18	LCL1	1.1732643961156972e-10
GSC2	MAK3	2.1186117347688253e-11
RPB5	PDR10	4.377636978584026e-09
THP2	ENV9	4.4229732822324945e-10
LAP3	TOA1	1.3577792520507745e-09
YEL008W	SSA2	4.166558121804444e-10
RSR1	TMA7	5.321117061491634e-10
GON7	MSF1	2.76137482632316e-10
SPP41	KRE1	5.0811334631165333e-11
DCP1	SDH5	2.2669970381264873e-11
APC11	ECM38	5.889277797725331e-11
SDH2	PPM2	3.5493906472613083e-10
AVT5	YHL037C	7.805720675582031e-11
COG3	RPP2A	2.8265711125441436e-09
QCR7	AIM36	3.71477564197812e-10
PUP3	ULI1	4.661451046707568e-09
CTI6	CUP9	1.9190217096274447e-09
HYP2	DCP2	5.621784406397092e-10
MBA1	VPS501	2.361763216168679e-11
VAS1	LAT1	1.3120413182180566e-08
YIH1	SMI1	6.471699483393941e-10
SCH9	MEU1	6.4317501516338785e-09
MCM7	RIE1	6.15389896037862e-11
CKB1	CSI2	6.5365737414797e-10
PCK1	MSC3	3.848292276136074e-09
RNH1	SEC2	5.608394752807707e-09
RPS6B	ARC40	7.207432290363847e-10
APC4	XPT1	3.83970492586568e-09
FYV10	STI1	8.860415421603503e-12
LNP1	PDR12	1.771637653599476e-09
SEC63	KES1	2.048300330178126e-09
SMX2	EMP70	6.325757638190761e-11
TPO1	CHA4	1.238753383481288e-09
ARF2	CCL1	1.1739307750635541e-10
QNS1	CMK2	3.871193220131445e-09
NAT2	EMP46	3.901974927229617e-11
FBP1	TLG2	1.9642468396512997e-11
SFK1	RQT4	3.211417614408416e-11
CPT1	NIS1	5.586989535126558e-08
TFC3	RIB4	4.808560132029469e-10
EUG1	CTF13	6.586761644137098e-11
BEM2	SLI1	9.891186856955162e-11
CCT4	SMC5	8.111722365653943e-10
VMA7	EMA17	1.0702428193100642e-12
PRP22	MDM34	9.66931694256729e-10
ARG56	GTT2	1.1432570660982548e-11
RNH202	RPS0A	2.5108460606106935e-09
DPH2	YLR456W	2.0130707437782263e-10
MFB1	EAF7	6.69518285990245e-09
RIA1	RPL42A	1.9996402400416095e-10
MSB2	HOS1	8.389808101040117e-10
TMN3	DCK1	1.2537344814615422e-09
ETR1	GPA1	1.1990161578633563e-10
KTR3	SHE9	5.536530495788089e-10
DPC25	ASA1	2.8794861345548356e-09
PRP3	LSM4	1.4439122549470762e-09
SWD3	AIM39	2.050818186792461e-11
YEL025C	MRP51	6.024127196453348e-10
BIK1	RAD4	2.138034185671854e-09
RPL29	MRPL6	1.0220071312464731e-10
VID22	CMK2	1.5961646979782676e-09
HRR25	RHO1	9.699842188681836e-10
YBL008W-A	MPH1	1.8371602306943655e-09
SYO1	ART5	4.899075655243034e-10
ADD37	VPS75	6.063540720831823e-10
OTU1	FPR1	3.1001315347564664e-10
TEL2	RPN13	9.705434098277303e-09
AVT2	GDB1	1.8798699911813382e-10
KGD4	ECM23	2.1309617337271285e-09
SKN7	HST1	3.778287419278064e-09
RAD24	STB6	3.105961301117154e-11
FSH2	YLH47	1.1216381220920886e-09
YDL218W	JID1	6.183644749660417e-10
YGR210C	KIN2	1.0232235583036674e-10
ADA2	RPL37A	1.0028637796845492e-10
LSM2	RSM24	1.2911149778318673e-09
PUS2	HIR2	2.9138185028859034e-11
UFO1	RPS19A	2.4422166959973244e-09
HEM12	SEC3	3.0246342597793497e-09
YFR012W-A	GCR2	1.1943009051957125e-10
SMY2	YPR172W	4.533291453201147e-10
ALR1	RIO1	1.5005993242724743e-10
KCS1	CCC2	4.9477975404169206e-09
SIP1	NRK1	3.698645082545057e-11
FLC2	ULS1	2.7974545517279204e-10
SNR73	YOR032W-A	1.693203865011132e-09
SNF7	CFF1	7.4119501484497315e-09
DUR12	YOR105W	3.050403089626842e-10
CIR1	TRM12	3.52330987658827e-09
DIP2	CPT1	3.5098835355470088e-09
MET14	TIF5	1.382238554132309e-09
YDR061W	SEN54	5.343852119945859e-10
SPP41	SRC1	1.8480246687411359e-10
CDC12	SWT21	2.3666264737596475e-09
YDL086W	MIC26	4.2966676850319e-10
CFD1	PIN3	4.488443986519732e-11
DUS3	APC5	2.999773121929339e-09
YIP4	RPC10	5.852382858312652e-10
DEP1	RFA1	9.048700213528519e-10
PEP12	CWC27	1.7543603218894211e-10
TLD1	YOR011W-A	1.9227967523322542e-10
RFA1	MEF1	1.3109516086408139e-09
HOP2	APS2	5.516576650660012e-10
GTT2	SEI1	3.1993569253623286e-10
ENT5	CAJ1	1.900312858860421e-11
TSA1	YPR003C	1.0312103088652467e-09
HXT5	YHR173C	4.2808974993343154e-10
SPC2	PNS1	2.6566487348103635e-11
PAU17	PRM3	2.8811958046198503e-09
RCI37	ACO1	2.8875429328883723e-10
TIF4632	GMC2	2.672362295154744e-10
MRS2	YPL264C	3.952300759840619e-09
PES4	FAR11	5.859794349121883e-10
IZH3	GAL4	2.8554689199590984e-09
DMA2	SCP1	1.9581507482685006e-09
PAL2	KAR2	4.566090765528243e-10
TOA2	RGL1	9.38395853879178e-10
SDH7	IMH1	4.374613534052043e-10
HRQ1	YGR210C	4.819442023281111e-09
AVT6	ATG16	3.1538857939103613e-09
PDC2	TFC4	2.3408749891828257e-10
JIP3	MPD2	3.4843645049125627e-09
KTI12	COT1	9.85282434276262e-11
YBR292C	GLE2	3.0233171439595944e-09
SYN8	BNA5	2.1587937327967494e-09
ATP16	GDA1	1.1335144634663067e-09
SUI1	BET2	1.0336388074379032e-09
SLM3	STV1	5.384323340291103e-09
RSA4	PTH1	1.94799005788132e-09
SYF2	ADE16	4.78808816691395e-10
YSY6	YFH1	2.3701525246621114e-10
CBF5	MID2	8.583169040551227e-09
DCG1	AHC1	9.466347530066165e-11
YCL012C	RRP15	1.3009476464318368e-12
BLM10	PHO91	3.1480467925387253e-09
TEL1	PDL32	2.725779672821159e-09
MNP1	SIN3	1.7680777533934754e-09
MRF1	YVH1	2.563689235119945e-09
ATG14	JIP5	1.7395372981884297e-09
NBA1	YOL024W	1.5967678584472176e-09
YER186C	OTO1	4.2100556381389344e-10
ARA1	MRPL20	1.1858089599251144e-11
BDH2	SBP1	1.0488878625408144e-09
STP4	ARG56	1.4907381889366618e-09
SER33	SFH1	7.259129540780549e-11
RPC37	CTS1	4.5617037104564034e-10
VID22	SUT2	3.7111972803882166e-10
SCY1	COQ10	5.867239536559639e-10
POL12	DTD1	1.6164371503528016e-10
YDL012C	ISW2	5.245390554181008e-10
YIR016W	GAL4	2.35408905319648e-09
SPT23	VTC3	1.6605443213869777e-09
FIS1	URA6	5.455370463594952e-12
TIP20	RNR4	1.740570500019305e-09
DCR2	TAF9	4.1900579106671795e-10
ATS1	NOG1	4.917345919466946e-11
CDC4	ATG7	1.604664234674048e-10
RPS29A	WSC3	2.2865754546522135e-09
GIR2	YAH1	5.474277207453711e-10
PPH22	GAS4	1.164323636156234e-09
VPS35	MTC2	6.577899684691327e-11
YDR262W	LDS2	3.0638346277328885e-09
RPC10	DCI1	3.1163862410161252e-09
GIC1	NOG1	5.436180051120826e-10
CSF1	RPL15B	3.5552980495752745e-10
MLS1	SRP72	1.1616822152905288e-08
QCR10	HSL1	3.9869119644443844e-10
PRM15	DYN3	1.3622858490199381e-10
HSP26	TIF6	5.859181122512041e-10
CHL4	KRE33	9.063202485878209e-10
BRE4	DCD1	1.2221562231656834e-10
SPT6	ACF2	1.2545658975667663e-08
ZPR1	CDC8	1.4605145511116103e-11
RPC37	DIF1	5.6778667796613e-09
ESC8	PET123	8.40115432512624e-11
ECM21	LNP1	8.71863544311272e-09
VMA10	HYR1	4.98727244005954e-10
RAD61	TAD3	1.413383739020042e-10
MSH5	VMA5	7.286702119705844e-10
ATG18	PRE10	3.9380741093853044e-10
URB2	YNL193W	4.478438050997855e-09
DBF2	SET3	5.657920481613941e-11
FLX1	SSE1	3.830923358374184e-11
YGL262W	CDC55	1.6135237455042494e-11
MF(ALPHA)2	BIO4	3.5990969227409015e-09
GND2	YAP3	4.234092019989474e-09
CKB1	YIL165C	1.867426613187939e-10
PKP2	TDA10	2.6723299039086062e-09
CPR2	MRS4	1.7332360998708919e-09
ENT5	FCY2	3.078102118028768e-09
SRF1	ATP5	8.134434090429884e-10
TFC3	YNL011C	1.043831851351445e-11
KTR4	RFC1	1.6632749607333932e-10
SMF3	NRK1	1.3726649077054277e-10
KCH1	HEF3	1.7308263998875673e-09
YIL086C	MSY1	1.2158696109763434e-10
YGL258W-A	COG6	2.4530963553442745e-11
CKA1	INP54	1.8272471490098354e-09
TPO2	DPA10	2.515206488124283e-10
UTP5	YPL077C	9.544330790454421e-10
SPS22	ALG8	1.1511825570200028e-09
SML1	FMP41	1.30987884098468e-09
TKL2	RET1	1.889454371283225e-09
GPX1	RTC1	4.09396265812216e-10
AUA1	YCS4	5.456391403229935e-10
GPI11	ROY1	6.489072792505969e-10
HAS1	PHO80	4.3735530711590036e-09
DFP2	YJR056C	6.885030293953318e-11
SSA3	MSB2	2.475774758843844e-10
YLR108C	EGD1	5.148131553488361e-09
AFR1	RPS4A	8.149737382393688e-10
PEX18	SKG1	4.4371180744413895e-09
CLG1	RRS1	9.196479123833434e-10
ERV29	IKI1	5.607059078592747e-10
CSM2	VPS75	5.2908346669559127e-11
YKL069W	POM33	7.180869545682829e-10
HFM1	HOL1	6.963993614355066e-11
MCY1	YML053C	7.143266449568102e-11
STU2	GIM5	8.281669720898847e-11
RRT7	JIP3	2.059358022980307e-09
APQ12	CIK1	1.8578890302195847e-09
RPL2A	RPL5	5.395282337780113e-09
GPI19	SEC16	2.827721467926977e-11
PET100	YGR201C	8.842828223830536e-10
HUA1	RRT14	4.325359923501864e-09
STB4	NDD1	1.836782841309188e-08
MON1	YPS3	4.64238521633491e-09
UTR4	SEC3	4.711492698900525e-11
