pathway,status,n_genes,excluded_genes,description,SS,percent_SS,n_valid_snps,mean_percent_SS,null_mean,null_sd,fold_enrichment,p_value,n_samples,n_unique_null_sets,additive_sum,additive_sum_null_mean,additive_sum_null_sd,additive_sum_p_value,additive_mean,additive_mean_null_mean,additive_mean_null_sd,additive_mean_p_value,q_value_bh,additive_sum_q_value_bh,additive_mean_q_value_bh
PWY3O-19,tested,5,[],ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic),2.2240093474528225e-14,0.0007128179709876091,42,4.040918202877603e-07,2.280204564874563e-15,2.0371866799971764e-15,9.753551859831349,0.004975124378109453,200,200,0.01310021551859584,0.0010863039088458608,0.0031576343734339672,0.01990049751243781,0.0003119098932999009,2.5864378782044306e-05,7.518177079604685e-05,0.01990049751243781,0.3880597014925373,0.41791044776119407,0.41791044776119407
PWY-922,tested,7,[],mevalonate pathway I,1.363985455886483e-14,0.00043717142926362473,60,1.2143650812878466e-07,4.3798752987572685e-15,2.6748323314629703e-15,3.114210708860811,0.024875621890547265,200,200,0.0006421349734350144,0.0009212750112581623,0.0006909980312366353,0.6268656716417911,1.070224955725024e-05,1.535458352096937e-05,1.1516633853943924e-05,0.6268656716417911,0.6208955223880597,0.8315565031982943,0.8524590163934426
PWY3O-242,tested,4,[],phosphatidylinositol phosphate biosynthesis,2.1156645161365777e-14,0.0006780923332944525,93,7.840124098675598e-08,5.253117802533491e-15,4.637799785645979e-15,4.027445406071473,0.024875621890547265,200,200,0.0006577301240878076,0.000724245319116234,0.0004325917211992569,0.5223880597014925,7.07236692567535e-06,7.786355029058745e-06,4.650528686984172e-06,0.5223880597014925,0.6208955223880597,0.8141644717588528,0.8149253731343283
PWY3O-94,tested,24,[],superpathway of TCA cycle and glyoxylate cycle,9.76729954511521e-14,0.003130520405299201,202,7.672091964756398e-08,6.11350194880606e-14,3.095410809974517e-14,1.5976603306755663,0.03482587064676617,200,200,0.0028850713868578794,0.00415745837274879,0.0060787973436110115,0.43283582089552236,1.4282531618108315e-05,2.0559092647982755e-05,3.0003879138460568e-05,0.43283582089552236,0.6208955223880597,0.7423750811161584,0.7423750811161584
PWY3O-64,tested,4,[],methionine salvage pathway,4.639600522212328e-15,0.00014870398967631128,38,1.0298060226891362e-07,1.6508146841269184e-15,1.2470622592684561e-15,2.8104914299730233,0.03980099502487562,200,199,0.0011388488798740018,0.0010244576663698318,0.005565873312787544,0.05970149253731343,2.996970736510531e-05,2.6959412272890313e-05,0.00014647035033651435,0.05970149253731343,0.6208955223880597,0.41791044776119407,0.41791044776119407
PWY3O-862,tested,8,[],superpathway of ubiquinone biosynthesis,2.4196253385773935e-14,0.000775514916954067,64,1.89334696521989e-07,1.16331978361444e-14,3.0708387653433035e-14,2.0799313934639763,0.07960199004975124,200,200,0.013330001477213027,0.0037993105091850177,0.011418361183728626,0.06965174129353234,0.00020828127308145355,5.93642267060159e-05,0.00017841189349575978,0.06965174129353234,0.89171165449349,0.41791044776119407,0.41791044776119407
PWY3O-48,tested,3,[],glycerol biosynthesis,1.5242964043794013e-16,4.885527443478884e-06,7,9.97046417036507e-08,7.611903787029634e-17,1.1826235514053788e-16,2.002516646330631,0.09950248756218906,200,199,8.22380791121092e-05,0.0002828198936021472,0.00113308463306497,0.6467661691542289,1.1748297016015602e-05,4.040284194316387e-05,0.00016186923329499569,0.6467661691542289,0.89171165449349,0.8315565031982943,0.8524590163934426
PWY-781,tested,5,[],sulfate assimilation pathway,6.28110664591526e-16,2.0131595669892203e-05,14,1.0271222280557247e-07,4.110403059291123e-16,7.187513403636164e-16,1.528099934559336,0.12437810945273632,200,200,0.0003201315027645836,0.0005595896574738294,0.001018925733138942,0.46766169154228854,2.286653591175597e-05,3.997068981955924e-05,7.278040950992444e-05,0.46766169154228854,0.89171165449349,0.7761194029850746,0.7761194029850746
PWY3O-6499,tested,4,[],phosphatidate biosynthesis II (the glycerol-3-phosphate pathway),1.6720465318908963e-15,5.3590818654804245e-05,27,7.351278279122668e-08,9.475172969050702e-16,1.4093648524225128e-15,1.7646606952214985,0.12935323383084577,200,200,0.0009217280405015441,0.001853161911224384,0.009129336308239314,0.05970149253731343,3.413807557413126e-05,6.863562634164386e-05,0.0003381235669718265,0.05970149253731343,0.89171165449349,0.41791044776119407,0.41791044776119407
PWY3O-6407,tested,3,[],phosphatidate biosynthesis I (the dihydroxyacetone pathway),1.1715262930288577e-15,3.75486279368338e-05,24,6.518859016811423e-08,5.947080585963356e-16,8.803025153186972e-16,1.9699183088151888,0.12935323383084577,200,197,0.000873507345727676,0.0004867667345804341,0.0022797656999154316,0.04975124378109453,3.6396139405319836e-05,2.0281947274184753e-05,9.499023749647631e-05,0.04975124378109453,0.89171165449349,0.41791044776119407,0.41791044776119407
