pathway,status,n_genes,excluded_genes,description,SS,percent_SS,n_valid_snps,mean_percent_SS,null_mean,null_sd,fold_enrichment,p_value,n_samples,n_unique_null_sets,additive_sum,additive_sum_null_mean,additive_sum_null_sd,additive_sum_p_value,additive_mean,additive_mean_null_mean,additive_mean_null_sd,additive_mean_p_value,q_value_bh,additive_sum_q_value_bh,additive_mean_q_value_bh
PWY3O-45,tested,5,[],folate biosynthesis II,1.5357944001823456e-15,4.922379707827799e-05,28,6.278545545698723e-08,9.650298623383644e-16,9.537538987957694e-16,1.5914475397279015,0.15422885572139303,200,200,0.0006094942643892434,0.0010801477969610532,0.0034039132825058635,0.30845771144278605,2.1767652299615835e-05,3.8576707034323325e-05,0.00012156833151806652,0.30845771144278605,0.89171165449349,0.6502622025010084,0.6502622025010084
PWY3O-6635,tested,5,[],superpathway of phosphatidate biosynthesis,2.2326270183065404e-15,7.15580023521076e-05,30,7.950889150234177e-08,1.8824595720897457e-15,4.752148555529201e-15,1.186015918433812,0.16417910447761194,200,200,0.0009551242251053323,0.001336889414573681,0.0063307119830726885,0.10945273631840796,3.1837474170177745e-05,4.456298048578937e-05,0.00021102373276908964,0.10945273631840796,0.89171165449349,0.4493322859387274,0.4493322859387274
PWY3O-188,tested,20,[],"aerobic respiration, electron transport chain",2.597576457586976e-14,0.0008325500889207063,115,6.295274774447685e-08,2.193383216989497e-14,1.2811429840001634e-14,1.1842784413898497,0.17412935323383086,200,200,0.0019724877928176438,0.003170157396370037,0.007025880554356845,0.373134328358209,1.7152067763631686e-05,2.7504639375858908e-05,6.0764558316377346e-05,0.373134328358209,0.89171165449349,0.7193301783764107,0.7098653076083
PWY-5651,tested,6,[],L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,2.973847974515123e-15,9.531489971691534e-05,42,5.40333898621969e-08,2.3249749678900707e-15,2.8946955798208235e-15,1.2790881689422697,0.18407960199004975,200,200,0.0008940486138623281,0.0006805155772972968,0.0005877778076551858,0.19900497512437812,2.128687175862686e-05,1.6202751840411832e-05,1.3994709706075853e-05,0.19900497512437812,0.89171165449349,0.5382763601348098,0.5409317051108096
PWY3O-351,tested,8,[],superpathway of methionine salvage pathway,6.710662570335452e-15,0.0002150836678293449,59,6.178789653241739e-08,5.5727014480901375e-15,4.982314681556748e-15,1.2042027790014327,0.19402985074626866,200,200,0.0019429193671775542,0.0015821770788596325,0.006228162362867014,0.03980099502487562,3.293083673182295e-05,2.6816560658637838e-05,0.00010556207394689855,0.03980099502487562,0.89171165449349,0.41791044776119407,0.41791044776119407
PWY3O-1743,tested,4,[],mannose degradation,6.53109095024283e-16,2.093282118989109e-05,17,7.243190723145706e-08,5.261498197323329e-16,6.710176358514373e-16,1.2412987147967431,0.19900497512437812,200,200,0.0003279556624581326,0.0005735289761987237,0.0014969045902560936,0.39303482587064675,1.929150955636074e-05,3.3736998599924915e-05,8.805321119153491e-05,0.39303482587064675,0.89171165449349,0.7299218194740582,0.7299218194740582
PWY3O-7,tested,8,[],superpathway of threonine biosynthesis,9.128084437403858e-15,0.0002925645359865923,72,5.643606018259882e-08,7.645089668699602e-15,6.360163126452947e-15,1.1939800359407042,0.20398009950248755,200,200,0.0006092972468349416,0.001605001029775372,0.005392348971948446,0.7611940298507462,8.46246176159641e-06,2.229168096910239e-05,7.489373572150621e-05,0.7611940298507462,0.89171165449349,0.8648187633262261,0.8648187633262261
PWY-5686-1,tested,6,[],UMP biosynthesis I,4.657273441140315e-15,0.00014927042498496252,56,4.7598987558980396e-08,3.7300959355119656e-15,3.147533107983412e-15,1.24856666468046,0.21890547263681592,200,200,0.00030433974747625986,0.0007377305323949298,0.0005529408088221544,0.8905472636815921,5.4346383477903545e-06,1.317375950705232e-05,9.873943014681329e-06,0.8905472636815921,0.89171165449349,0.9515436516049888,0.9515436516049888
PWY3O-261,tested,7,[],superpathway of serine and glycine biosynthesis,2.8123439907039088e-15,9.013853019407243e-05,38,6.242280484354046e-08,2.18534841772357e-15,1.6133857251291213e-15,1.2869087454866655,0.22885572139303484,200,200,0.0007274102075834297,0.0008577504101179669,0.0015513031109048935,0.3283582089552239,1.9142373883774466e-05,2.2572379213630715e-05,4.082376607644456e-05,0.3283582089552239,0.89171165449349,0.6739984289080911,0.6739984289080911
PWY3O-3827,tested,3,[],glucose-6-phosphate biosynthesis,3.4516219376720355e-16,1.1062804880049595e-05,15,4.916802168910931e-08,2.600963286111579e-16,2.8871301516508266e-16,1.3270552322298192,0.25870646766169153,200,199,0.00018979006817261204,0.00037955487655119636,0.0007535887016704046,0.5671641791044776,1.265267121150747e-05,2.530365843674643e-05,5.023924677802698e-05,0.5671641791044776,0.89171165449349,0.8315565031982943,0.834694452266967
PWY3O-355,tested,5,[],stearate biosynthesis III (fungi),3.2020943429217135e-15,0.00010263043161426172,58,3.050845172837744e-08,3.232255800348128e-15,3.7560755210556364e-15,0.9906686044393003,0.25870646766169153,200,200,0.001303435333016845,0.000721873957979508,0.0008550737559047073,0.12935323383084577,2.247302298304905e-05,1.244610272378462e-05,1.4742650963874265e-05,0.12935323383084577,0.89171165449349,0.48045486851457,0.4989339019189765
PWY3O-5962,tested,9,[],"superpathway of fatty acid biosynthesis, saturated and unsaturated",1.4695445652457978e-14,0.0004710042142916841,100,4.710042142916841e-08,1.2928675106320696e-14,1.1485443043057638e-14,1.1366551894612562,0.263681592039801,200,200,0.002891552472018379,0.001238292175375398,0.0009030416564558522,0.06965174129353234,2.891552472018379e-05,1.238292175375398e-05,9.03041656455852e-06,0.06965174129353234,0.89171165449349,0.41791044776119407,0.41791044776119407
PWY3O-4,tested,3,[],carnitine shuttle,2.3056520580299385e-15,7.389853031376117e-05,48,3.207401489312551e-08,1.8937610156509026e-15,1.6959217351153437e-15,1.2174989552403819,0.29850746268656714,200,177,0.0014688480942333902,0.0004963487249952704,0.00024160040657183408,0.004975124378109453,3.060100196319563e-05,1.0340598437401466e-05,5.033341803579877e-06,0.004975124378109453,0.89171165449349,0.3880597014925373,0.3880597014925373
PWY-5971-1,tested,4,[],myristate biosynthesis,2.36635255661255e-15,7.584404399998505e-05,56,2.4184963010199315e-08,2.621410415181814e-15,2.962407642712016e-15,0.9027020503572791,0.30845771144278605,200,200,0.0012772525448278217,0.0008635625814512501,0.0016255401710228515,0.1791044776119403,2.2808081157639673e-05,1.542076038305804e-05,2.9027503053979493e-05,0.1791044776119403,0.89171165449349,0.5382763601348098,0.5409317051108096
PWY3O-4158,tested,14,[],superpathway of NAD biosynthesis,9.72388825953548e-15,0.00031166066398106035,72,6.011972684819837e-08,9.811814133460387e-15,6.9213451108915726e-15,0.9910387750186725,0.31343283582089554,200,200,0.0018040982795172844,0.002638897824590248,0.006395240439424516,0.29850746268656714,2.5056920548851172e-05,3.6651358674864554e-05,8.882278388089605e-05,0.29850746268656714,0.89171165449349,0.6467661691542288,0.6467661691542288
PWY3O-450,tested,3,[],,1.1383942816596505e-16,3.6486712745425742e-06,8,5.701048866472772e-08,1.2809936062908373e-16,2.0499362411001986e-16,0.888680689793536,0.36318407960199006,200,197,0.001428024698347962,0.0004301719121477504,0.0022736229515983287,0.024875621890547265,0.00017850308729349526,5.37714890184688e-05,0.0002842028689497911,0.024875621890547265,0.89171165449349,0.41791044776119407,0.41791044776119407
PWY3O-123,tested,3,[],dolichyl phosphate D-mannose biosynthesis,8.574445703628318e-17,2.7481984263258195e-06,7,5.6085682169914685e-08,9.191489805525977e-17,1.3626802411022629e-16,0.9328678903036275,0.36318407960199006,200,199,0.00017901754869084334,0.0002737195101785635,0.00040146284445557654,0.4925373134328358,2.5573935527263334e-05,3.910278716836621e-05,5.735183492222523e-05,0.4925373134328358,0.89171165449349,0.7840389887298203,0.7840389887298203
PWY3O-4107,tested,5,[],NAD salvage pathway V (PNC V cycle),5.311519677896287e-16,1.7023969274207852e-05,17,5.890646807684378e-08,6.768493692200553e-16,1.970840506483322e-15,0.7847417637423285,0.373134328358209,200,200,0.0007070031026718427,0.0006148129398010935,0.0014608551865583786,0.1890547263681592,4.158841780422604e-05,3.616546704712315e-05,8.593265803284579e-05,0.1890547263681592,0.89171165449349,0.5382763601348098,0.5409317051108096
PWY3O-2,tested,12,[],superpathway of phospholipid biosynthesis,8.175254533938654e-15,0.0002620253532595829,73,4.9169704120769926e-08,1.0158061750186311e-14,1.7179485249326905e-14,0.8048045714812385,0.373134328358209,200,200,0.0019139619165542306,0.002343366769313743,0.006086046818235452,0.208955223880597,2.6218656391153845e-05,3.2557594633529347e-05,8.61455709601813e-05,0.21890547263681592,0.89171165449349,0.5382763601348098,0.5409317051108096
PWY3O-4153,tested,3,[],phenylalanine biosynthesis,7.254254328686253e-16,2.3250634524196423e-05,34,2.0113005643768533e-08,1.2713626512914962e-15,2.968693228711486e-15,0.5705889127163771,0.39303482587064675,200,198,0.00015128991491376805,0.0011093383649633125,0.007440680355872429,0.7960199004975125,4.449703379816707e-06,3.262759896950919e-05,0.00021884353987860084,0.7960199004975125,0.89171165449349,0.8745007357578306,0.8745007357578306
PWY-6074-1,tested,5,[],zymosterol biosynthesis,2.3643262420444807e-16,7.5779098524794135e-06,11,6.262735415272243e-08,3.10833161094852e-16,3.9798988502221334e-16,0.7606415717411171,0.39800995024875624,200,200,0.00020453370392160814,0.0006910100069859845,0.0027126073863669646,0.6119402985074627,1.8593973083782558e-05,6.281909154418042e-05,0.00024660067148790584,0.6119402985074627,0.89171165449349,0.8315565031982943,0.8524590163934426
PWY-6123-1,tested,5,[],inosine-5'-phosphate biosynthesis I,2.0012711919505793e-15,6.414280911525831e-05,39,4.2171472133634653e-08,2.6235100908763983e-15,3.349792794227166e-15,0.7628219913886604,0.4228855721393035,200,200,0.0008490749812828346,0.002281205379200603,0.010570197853961785,0.23880597014925373,2.177115336622653e-05,5.849244562052826e-05,0.0002710307142041484,0.23880597014925373,0.89171165449349,0.5478489903424056,0.5478489903424056
PWY3O-10,tested,7,[],"fatty acid biosynthesis, initial steps",8.380464359037006e-15,0.00026860254014599873,90,3.316080742543194e-08,9.477360944422793e-15,9.451012034836446e-15,0.8842613896612975,0.42786069651741293,200,200,0.0025661454174306444,0.0011060753245452062,0.0010448176997213286,0.08955223880597014,2.8512726860340492e-05,1.228972582828007e-05,1.1609085552459206e-05,0.08955223880597014,0.89171165449349,0.43371378402107114,0.43371378402107114
PWY3O-13,tested,5,[],superpathway of glutamate biosynthesis,1.1314820269419344e-14,0.00036265167841018076,136,1.960703278601756e-08,1.1548929038615968e-14,7.308459936015466e-15,0.9797289628835854,0.42786069651741293,200,200,0.0009164821217411428,0.0007945570623941611,0.0003599160289736757,0.3781094527363184,6.73883913044958e-06,5.817313239509517e-06,2.6399878732927635e-06,0.373134328358209,0.89171165449349,0.7193301783764107,0.7098653076083
PWY3O-8514,tested,3,[],palmitate biosynthesis,1.3905333319259167e-15,4.456802977871016e-05,54,1.5283960829461646e-08,2.2338520950283464e-15,3.4987520095426137e-15,0.6224822740147761,0.42786069651741293,200,181,0.0011825090081689683,0.0004733665836119052,0.0005219397353926653,0.07960199004975124,2.1898314966092005e-05,8.766047844664911e-06,9.665550655419727e-06,0.07960199004975124,0.89171165449349,0.43371378402107114,0.43371378402107114
PWY3O-6336,tested,8,[],"superpathway of fatty acid biosynthesis, saturated",9.986852179109419e-15,0.00032008892925828713,92,3.7817690129759825e-08,1.0334693112454733e-14,5.783360778311054e-15,0.9663424032469704,0.43283582089552236,200,200,0.0026608889540894977,0.0012252002237208388,0.0017296976315716605,0.05970149253731343,2.892270602271193e-05,1.3317393736096075e-05,1.8801061212735444e-05,0.05970149253731343,0.89171165449349,0.41791044776119407,0.41791044776119407
PWY-5694,tested,3,[],allantoin degradation to glyoxylate I,2.429188319376071e-16,7.78579951090418e-06,29,9.257787765641117e-09,3.451448596349847e-16,4.1501672105667927e-16,0.7038170355325908,0.43781094527363185,200,188,0.0005871768048603372,0.00029487474438043564,0.0002599930925975529,0.1044776119402985,2.02474760296668e-05,1.0195862748489742e-05,9.026522674563659e-06,0.1044776119402985,0.89171165449349,0.4493322859387274,0.4493322859387274
PWY-6126-1,tested,8,[],superpathway of adenosine nucleotides de novo biosynthesis II,4.2025251686820045e-15,0.0001346952730749623,52,4.9813340634231616e-08,4.728264354004893e-15,2.658640337818798e-15,0.8888092657345646,0.46766169154228854,200,200,0.003554176171933728,0.003087500650038968,0.010634330042685118,0.0845771144278607,6.834954176795631e-05,5.9375012500749384e-05,0.00020450634697471388,0.0845771144278607,0.89171165449349,0.43371378402107114,0.43371378402107114
PWY0-162,tested,9,[],superpathway of pyrimidine ribonucleotides de novo biosynthesis,9.20012628363373e-15,0.0002948735515810903,84,4.179046932838581e-08,1.0153440519479384e-14,6.350074861449053e-15,0.9061092410974665,0.472636815920398,200,200,0.0005327936203125411,0.002078849722576469,0.00846597180975226,0.9353233830845771,6.342781194196917e-06,2.47482109830532e-05,0.00010078537868752688,0.9353233830845771,0.89171165449349,0.9727363184079603,0.9727363184079603
PWY3O-4109,tested,13,[],isoleucine degradation,4.858452575255863e-14,0.0015571842406147407,208,3.599260911184219e-08,5.3898057798625507e-14,2.8701430920462854e-14,0.9014151480945871,0.48258706467661694,200,200,0.0038135421746205485,0.0034072435840936093,0.0021135042241167004,0.12437810945273632,1.8334337377983407e-05,1.679519220231138e-05,1.04543997076312e-05,0.13432835820895522,0.89171165449349,0.48045486851457,0.4989339019189765
PWY3O-4112,tested,10,[],leucine degradation,3.757995162886191e-14,0.0012044762716747566,194,3.2003301936304514e-08,5.073976549452275e-14,4.0363751715679255e-14,0.7406410191808747,0.48258706467661694,200,200,0.0020643720561681718,0.0033805641814394606,0.002921452962272747,0.9651741293532339,1.0641093073031814e-05,1.7994482135050136e-05,1.553071139236002e-05,0.9800995024875622,0.89171165449349,0.99057344854674,1.0
PWY-7220-1,tested,5,[],adenosine deoxyribonucleotides de novo biosynthesis II,1.4062128646916594e-15,4.507057500159383e-05,36,3.477667824197055e-08,1.934884775068869e-15,2.181473448370468e-15,0.7267682721011682,0.48756218905472637,200,200,0.0008023947851054355,0.0011589461197341858,0.0030287999431984894,0.22885572139303484,2.2288744030706543e-05,3.2192947770394046e-05,8.413333175551359e-05,0.22885572139303484,0.89171165449349,0.5409317051108096,0.5409317051108096
PWY3O-4105,tested,11,[],valine degradation,4.187082402800843e-14,0.0013420031647532148,198,3.423128162313067e-08,5.259288412725585e-14,3.233603443572825e-14,0.7961309732833077,0.4975124378109453,200,200,0.003679303236233316,0.0035331174904120427,0.0032062145959345922,0.17412935323383086,1.858233957693594e-05,1.8467617805420826e-05,1.6724085195223114e-05,0.17412935323383086,0.89171165449349,0.5382763601348098,0.5409317051108096
PWY3O-69,tested,8,[],superpathway of heme and siroheme biosynthesis,1.3303497351993673e-15,4.263908333095853e-05,32,4.163972981538919e-08,1.709830332798185e-15,1.1818971605354092e-15,0.778059500805681,0.527363184079602,200,200,0.0008695903137960707,0.0012719054700885274,0.004374865996815937,0.24875621890547264,2.717469730612721e-05,3.9745189687952316e-05,0.00013671493823376254,0.24875621890547264,0.89171165449349,0.5543710021321961,0.5543710021321961
PWY-7222-1,tested,5,[],guanosine deoxyribonucleotides de novo biosynthesis II,1.4062128646916594e-15,4.507057500159383e-05,36,3.477667824197055e-08,1.8807472911818404e-15,2.4911344261623182e-15,0.747688363707817,0.527363184079602,200,200,0.0008023947851054355,0.0010540309360423548,0.005380270148080524,0.18407960199004975,2.2288744030706543e-05,2.9278637112287626e-05,0.00014945194855779233,0.18407960199004975,0.89171165449349,0.5382763601348098,0.5409317051108096
PWY-821-1,tested,16,[],superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),5.529466655059857e-15,0.00017722511851029978,53,6.309188982210743e-08,7.91544884552998e-15,1.0557708041477996e-14,0.6985664063993621,0.5373134328358209,200,200,0.0018565386953261606,0.0024851126653653716,0.006545344272196942,0.208955223880597,3.502903198728605e-05,4.688891821444097e-05,0.0001234970617395649,0.208955223880597,0.89171165449349,0.5382763601348098,0.5409317051108096
PWY-6075-1,tested,5,[],ergosterol biosynthesis I,7.295582124973974e-16,2.3383094380666642e-05,26,3.459037630276131e-08,1.0015036893710735e-15,9.081066601440532e-16,0.7284628306816793,0.5373134328358209,200,200,0.00033133688982829476,0.0010075110413149482,0.003035345558078711,0.6417910447761194,1.274372653185749e-05,3.861953311320572e-05,0.00011591734708615335,0.6417910447761194,0.89171165449349,0.8315565031982943,0.8524590163934426
PWY3O-4031,tested,6,[],glycogen biosynthesis,7.609219684738284e-15,0.00024388335160039953,95,2.7023086049905766e-08,1.0145519491931927e-14,8.138126234769976e-15,0.7500078917387525,0.572139303482587,200,200,0.0005432139727813186,0.0009822103948381028,0.0010790468294670824,0.7711442786069652,5.718041818750722e-06,1.0339056787769503e-05,1.135838767860087e-05,0.7711442786069652,0.8932695015488595,0.8648187633262261,0.8648187633262261
PWY-6482-1,tested,4,[],diphthamide biosynthesis,9.062485970803748e-16,2.9046203736556166e-05,34,2.5126473820550318e-08,4.162013314897947e-15,3.368266143474878e-14,0.217742839465807,0.572139303482587,200,200,0.00046226024226679287,0.0036808080954329257,0.01124677968026947,0.34328358208955223,1.3595889478435084e-05,0.00010825906163038017,0.0003307876376549844,0.34328358208955223,0.8932695015488595,0.6865671641791045,0.6865671641791045
PWY3O-954,tested,5,[],superpathway of methionine biosynthesis,2.3605955913074176e-16,7.565952731472245e-06,13,4.476895107380027e-08,4.788367059068435e-16,7.19738148647517e-16,0.49298551305435334,0.582089552238806,200,200,0.0001694285898888112,0.0006915949233900104,0.0019212221869354936,0.7761194029850746,1.3032968452985476e-05,5.3199609491539266e-05,0.00014778632207196102,0.7761194029850746,0.8932695015488595,0.8648187633262261,0.8648187633262261
PWY-5653,tested,4,[],NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde,2.836781632386024e-16,9.092178185529042e-06,17,3.146082417138077e-08,5.085840262275095e-16,6.558451602790353e-16,0.5577803246059916,0.6069651741293532,200,200,0.00051881192279213,0.0007870420236644665,0.005294944882403515,0.22885572139303484,3.051834839953706e-05,4.629658962732156e-05,0.00031146734602373614,0.22885572139303484,0.8932695015488595,0.5409317051108096,0.5409317051108096
PWY-7219,tested,3,[],adenosine ribonucleotides de novo biosynthesis,1.9822447673124388e-16,6.3532992550357585e-06,16,2.4817575214983432e-08,3.378273736433132e-16,3.7531555260103155e-16,0.5867626255193115,0.6069651741293532,200,197,0.002751781386828293,0.00043143638786543795,0.0007737522087268138,0.03482587064676617,0.0001719863366767683,2.6964774241589872e-05,4.835951304542586e-05,0.03482587064676617,0.8932695015488595,0.41791044776119407,0.41791044776119407
PWY-7221,tested,4,[],guanosine ribonucleotides de novo biosynthesis,8.816768594947972e-16,2.825865416310443e-05,42,1.6019645217179383e-08,1.5591489361033339e-15,1.4560990615673352e-15,0.5654859770473931,0.6069651741293532,200,200,6.240314792122309e-05,0.0005455218729106412,0.0006177394803005493,1.0,1.4857892362195973e-06,1.2988616021681934e-05,1.4708082864298794e-05,1.0,0.8932695015488595,1.0,1.0
PWY3O-285,tested,23,[],superpathway of purine biosynthesis and salvage pathways,2.4783277711407266e-14,0.0007943296530161058,126,5.003336186798348e-08,3.3060859331088396e-14,2.685247749130041e-14,0.749625938733619,0.6268656716417911,200,200,0.005089567856111449,0.0035693422186290126,0.0072374877108627896,0.0945273631840796,4.0393395683424195e-05,2.836260280455326e-05,5.768124742838347e-05,0.0945273631840796,0.9054726368159204,0.43371378402107114,0.43371378402107114
PWY0-662,tested,4,[],PRPP biosynthesis,2.9688764205103324e-16,9.515555627519784e-06,21,2.1577223645169577e-08,1.5101418373229589e-15,6.302553787537752e-15,0.19659586584087257,0.6965174129353234,200,200,0.0005335172117370914,0.0019282361186053994,0.009225541920387615,0.21393034825870647,2.5405581511290064e-05,9.182076755263808e-05,0.0004393115200184579,0.21393034825870647,0.9642695612844866,0.5382763601348098,0.5409317051108096
PWY-5084,tested,3,[],2-oxoglutarate decarboxylation to succinyl-CoA,2.5718853130220426e-16,8.243158116852714e-06,36,6.3604615099172175e-09,6.314988877426419e-16,5.682344099585191e-16,0.4072668001388748,0.7114427860696517,200,193,0.0004472486918763974,0.000496364484391006,0.0004764673740777987,0.417910447761194,1.2423574774344372e-05,1.378790234419461e-05,1.3235204835494408e-05,0.417910447761194,0.9642695612844866,0.7423750811161584,0.7423750811161584
PWY-7176,tested,3,[],UTP and CTP de novo biosynthesis,3.3139306440465406e-16,1.0621490059780539e-05,28,1.3547818953801708e-08,8.471873500612976e-16,8.019071477516147e-16,0.3911685701877824,0.7313432835820896,200,194,0.00022845387283628116,0.0006320931966149922,0.0019629332770746415,0.6666666666666666,8.159066887010041e-06,2.257475702196401e-05,7.010475989552292e-05,0.6666666666666666,0.9642695612844866,0.8315565031982943,0.8524590163934426
PWY-6125,tested,8,[],superpathway of guanosine nucleotides de novo biosynthesis II,3.3569647882065057e-15,0.0001075941893745557,62,2.799016372907276e-08,4.89243747256999e-15,2.5261102642392848e-15,0.6861538460180049,0.7412935323383084,200,200,0.0008351223520755117,0.0012950227519668478,0.0025509705676462747,0.43781094527363185,1.346971535605664e-05,2.088746374140077e-05,4.1144686574939904e-05,0.43781094527363185,0.9642695612844866,0.7423750811161584,0.7423750811161584
PWY3O-4108,tested,10,[],L-tyrosine degradation III,2.068314527352115e-14,0.0006629161727399642,184,1.9580463514294784e-08,3.16482936388242e-14,1.807703333932301e-14,0.6535311353452663,0.7711442786069652,200,200,0.002430356737911945,0.003939023216192492,0.005750509933267379,0.6965174129353234,1.3208460532130136e-05,2.2156798866421473e-05,3.2045371511307424e-05,0.7512437810945274,0.9642695612844866,0.8466757123473541,0.8648187633262261
PWY3O-981,tested,5,[],superpathway of acetoin and butanediol biosynthesis,9.198896391794317e-16,2.9483413227709733e-05,42,1.6713953076932953e-08,1.971866431804641e-15,2.1796041324483554e-15,0.4665070738779979,0.7810945273631841,200,200,0.0019087374320424205,0.0009109853311296635,0.002563195061058761,0.04975124378109453,4.544612933434334e-05,2.169012693165866e-05,6.102845383473241e-05,0.04975124378109453,0.9642695612844866,0.41791044776119407,0.41791044776119407
PWY3O-31704,tested,13,[],ergosterol biosynthesis,3.450677760633643e-15,0.00011059778695103336,50,4.423911478041334e-08,5.246773058566946e-15,4.037428184706845e-15,0.6576761987064347,0.7860696517412935,200,200,0.0009364793913594944,0.002273310038620414,0.006397500267572464,0.5323383084577115,1.8729587827189888e-05,4.557747993973356e-05,0.0001299247546386095,0.5373134328358209,0.9642695612844866,0.8141644717588528,0.8217734855136084
PWY3O-2220,tested,5,[],"salvage pathways of adenine, hypoxanthine and their nucleosides",7.655336870007577e-17,2.4536145502963948e-06,9,3.029153765798018e-08,1.7367273696489368e-16,1.2998998931589484e-16,0.4407909383932282,0.7860696517412935,200,200,0.00019405895072808048,0.0002877082021321402,0.0003759198507327927,0.5621890547263682,2.1562105636453386e-05,3.196757801468225e-05,4.176887230364363e-05,0.5621890547263682,0.9642695612844866,0.8315565031982943,0.834694452266967
